"","Symbol","Company Name","Price","Change","% Change","Volume","Dollars Traded","Go to:"
"1","DGAZ","VelocityShares 3x Inverse Natural Gas ETN linked to the S&P GSCI Natural Gas Index Excess Return","221.4566","15.4566","7.50%","528,018","116.93M",NA
"2","CLX","Clorox Co.","195.734","9.294","4.98%","3,209,447","628.20M",NA
"3","ERY","Direxion Daily Energy Bear 2X Shares","66.58","7.0201","11.79%","139,048","9.26M",NA
"4","CHE","Chemed Corp.","423.095","6.525","1.57%","35,369","14.96M",NA
"5","NRGD","MicroSectors U.S. Big Oil Index -3X Inverse Leveraged ETN","36.25","6.3285","21.15%","7,237","262,341",NA
"6","UVXY","ProShares Ultra VIX Short-Term Futures ETF","48.09","6.16","14.69%","5,551,649","266.98M",NA
"7","NRGZ","MicroSectors U.S. Big Oil Index -2X Inverse Leveraged ETN","53.0199","5.9507","12.64%","1,074","56,943",NA
"8","DUG","ProShares UltraShort Oil & Gas","55.128","5.593","11.29%","65,613","3.62M",NA
"9","STZ.B","Constellation Brands Inc. Cl B","162.24","5.57","3.56%","147","23,849",NA
"10","MOH","Molina Healthcare Inc.","169.445","5.475","3.34%","803,926","136.22M",NA
"11","ASGN","ASGN Inc.","51.33","4.88","10.51%","675,348","34.67M",NA
"12","TZA","Direxion Daily Small Cap Bear 3x Shares","38.23","4.63","13.78%","7,677,494","293.51M",NA
"13","EDZ","Direxion Daily Emerging Markets Bear 3x Shares","41.04","3.86","10.38%","351,634","14.43M",NA
"14","YANG","Direxion Daily FTSE China Bear 3X Shares","42.93","3.37","8.52%","870,257","37.36M",NA
"15","CLGX","CoreLogic Inc.","41.71","3.29","8.56%","360,831","15.05M",NA
"16","AON","Aon PLC","175.955","3.285","1.90%","763,911","134.41M",NA
"17","RMD","ResMed Inc.","158.6","3.28","2.11%","542,739","86.08M",NA
"18","FXP","ProShares UltraShort FTSE China 50 ETF","60.61","3.28","5.72%","92,337","5.60M",NA
"19","FNV","Franco-Nevada Corp.","135.46","3.25","2.46%","440,118","59.62M",NA
"20","SPG.PRJ","Simon Property Group Inc. 8.375% Cum. Redeem. Pfd. Series J","64.4649","3.1649","5.16%","1,998","128,801",NA
"21","VIXY","ProShares VIX Short-Term Futures ETF","34.06","2.99","9.62%","1,440,914","49.08M",NA
"22","FBHS","Fortune Brands Home & Security Inc.","51.17","2.97","6.16%","1,787,928","91.49M",NA
"23","SCO","ProShares UltraShort Bloomberg Crude Oil","49.52","2.96","6.36%","3,458,890","171.28M",NA
"24","SMDD","ProShares UltraPro Short MidCap400","26.05","2.9056","12.55%","85,919","2.24M",NA
"25","EEV","ProShares UltraShort MSCI Emerging Markets","43.8215","2.8015","6.83%","25,621","1.12M",NA
"26","BRK.A","Berkshire Hathaway Inc. Cl A","275,100.00","-6,600.00","-2.34%","194","53.37M",NA
"27","NVR","NVR Inc.","3,015.455","-84.545","-2.73%","5,487","16.55M",NA
"28","CABO","Cable One Inc.","1,843.00","-69.86","-3.65%","7,279","13.42M",NA
"29","TPL","Texas Pacific Land Trust Sub. Share Cert.","508.05","-61.60","-10.81%","30,653","15.57M",NA
"30","MKL","Markel Corp.","834.20","-31.64","-3.65%","27,590","23.02M",NA
"31","MTD","Mettler-Toledo International Inc.","688.63","-31.31","-4.35%","39,073","26.91M",NA
"32","SHOP","Shopify Inc. Cl A","601.66","-30.63","-4.84%","1,408,977","847.73M",NA
"33","AZO","AutoZone Inc.","991.24","-29.08","-2.85%","89,907","89.12M",NA
"34","FTV.PRA","Fortive Corp. 5% Conv. Pfd. Series A","804.66","-25.12","-3.03%","4,675","3.76M",NA
"35","BH.A","Biglari Holdings Inc. Cl A","330.00","-25.00","-7.04%","580","191,400",NA
"36","PAYC","Paycom Software Inc.","237.28","-23.74","-9.10%","682,093","161.85M",NA
"37","TDG","TransDigm Group Inc.","341.41","-21.67","-5.97%","534,401","182.45M",NA
"38","Y","Alleghany Corp.","514.32","-19.39","-3.63%","22,047","11.34M",NA
"39","SOXL","Direxion Daily Semiconductor Bull 3X Shares","112.01","-19.00","-14.50%","2,656,406","297.54M",NA
"40","FICO","Fair Isaac Corp.","334.95","-17.99","-5.10%","116,290","38.95M",NA
"41","BLK","BlackRock Inc.","484.30","-17.74","-3.53%","181,817","88.05M",NA
"42","ANTM","Anthem Inc.","265.065","-15.665","-5.58%","519,738","137.76M",NA
"43","GHC","Graham Holdings Co.","374.74","-15.27","-3.92%","10,443","3.91M",NA
"44","CMG","Chipotle Mexican Grill Inc.","865.09","-13.46","-1.53%","217,413","188.08M",NA
"45","HUM","Humana Inc.","369.11","-12.71","-3.33%","435,392","160.71M",NA
"46","RETL","Direxion Daily Retail Bull 3x Shares","84.1581","-12.5619","-12.99%","10,881","915,724",NA
"47","SHW","Sherwin-Williams Co.","524.03","-12.34","-2.30%","134,054","70.25M",NA
"48","UNH","UnitedHealth Group Inc.","280.63","-11.84","-4.05%","1,312,028","368.19M",NA
"49","HIBL","Direxion Daily S&P 500 High Beta Bull 3X Shares","62.73","-11.69","-15.71%","27,436","1.72M",NA
"50","MDY","SPDR S&P MidCap 400 ETF Trust","288.20","-11.61","-3.87%","936,423","269.88M",NA
